Post,Huishouden,Woonsituatie,Inkomen,Jaar,Bedrag
TOTAAL INKOMEN,Alleenstaand,gemiddelde huur,1,2019,0
TOTAAL UITGAVEN,Alleenstaand,gemiddelde huur,1,2019,1.059
 huur/hypotheek,Alleenstaand,gemiddelde huur,1,2019,229
 gas,Alleenstaand,gemiddelde huur,1,2019,78
 elektriciteit,Alleenstaand,gemiddelde huur,1,2019,32
 water,Alleenstaand,gemiddelde huur,1,2019,9
 lokale lasten,Alleenstaand,gemiddelde huur,1,2019,44
 telefoon televisie internet,Alleenstaand,gemiddelde huur,1,2019,55
 verzekeringen,Alleenstaand,gemiddelde huur,1,2019,170
 onderwijs,Alleenstaand,gemiddelde huur,1,2019,0
 kinderopvang,Alleenstaand,gemiddelde huur,1,2019,0
 contributies en abonnementen,Alleenstaand,gemiddelde huur,1,2019,2
 vervoer,Alleenstaand,gemiddelde huur,1,2019,16
VASTE LASTEN,Alleenstaand,gemiddelde huur,1,2019,635
 kleding en schoenen,Alleenstaand,gemiddelde huur,1,2019,53
 inventaris,Alleenstaand,gemiddelde huur,1,2019,65
 onderhoud huis en tuin,Alleenstaand,gemiddelde huur,1,2019,23
 niet-vergoede ziektekosten,Alleenstaand,gemiddelde huur,1,2019,38
 vrijetijdsuitgaven,Alleenstaand,gemiddelde huur,1,2019,0
RESERVERINGSUITGAVEN,Alleenstaand,gemiddelde huur,1,2019,179
 voeding,Alleenstaand,gemiddelde huur,1,2019,214
 overige huishoudelijke uitgaven,Alleenstaand,gemiddelde huur,1,2019,30
HUISHOUDELIJKE UITGAVEN,Alleenstaand,gemiddelde huur,1,2019,244
OVERSCHOT/TEKORT,Alleenstaand,gemiddelde huur,1,2019,0
TOTAAL INKOMEN,Alleenstaand,gemiddelde huur,2,2019,0
TOTAAL UITGAVEN,Alleenstaand,gemiddelde huur,2,2019,1.152
 huur/hypotheek,Alleenstaand,gemiddelde huur,2,2019,229
 gas,Alleenstaand,gemiddelde huur,2,2019,78
 elektriciteit,Alleenstaand,gemiddelde huur,2,2019,32
 water,Alleenstaand,gemiddelde huur,2,2019,9
 lokale lasten,Alleenstaand,gemiddelde huur,2,2019,44
 telefoon televisie internet,Alleenstaand,gemiddelde huur,2,2019,55
 verzekeringen,Alleenstaand,gemiddelde huur,2,2019,170
 onderwijs,Alleenstaand,gemiddelde huur,2,2019,0
 kinderopvang,Alleenstaand,gemiddelde huur,2,2019,0
 contributies en abonnementen,Alleenstaand,gemiddelde huur,2,2019,21
 vervoer,Alleenstaand,gemiddelde huur,2,2019,24
VASTE LASTEN,Alleenstaand,gemiddelde huur,2,2019,662
 kleding en schoenen,Alleenstaand,gemiddelde huur,2,2019,53
 inventaris,Alleenstaand,gemiddelde huur,2,2019,65
 onderhoud huis en tuin,Alleenstaand,gemiddelde huur,2,2019,23
 niet-vergoede ziektekosten,Alleenstaand,gemiddelde huur,2,2019,38
 vrijetijdsuitgaven,Alleenstaand,gemiddelde huur,2,2019,40
RESERVERINGSUITGAVEN,Alleenstaand,gemiddelde huur,2,2019,219
 voeding,Alleenstaand,gemiddelde huur,2,2019,214
 overige huishoudelijke uitgaven,Alleenstaand,gemiddelde huur,2,2019,56
HUISHOUDELIJKE UITGAVEN,Alleenstaand,gemiddelde huur,2,2019,270
OVERSCHOT/TEKORT,Alleenstaand,gemiddelde huur,2,2019,0
TOTAAL INKOMEN,Alleenstaand,gemiddelde huur,1500,2019,1.500
TOTAAL UITGAVEN,Alleenstaand,gemiddelde huur,1500,2019,1.500
 huur/hypotheek,Alleenstaand,gemiddelde huur,1500,2019,520
 gas,Alleenstaand,gemiddelde huur,1500,2019,79
 elektriciteit,Alleenstaand,gemiddelde huur,1500,2019,33
 water,Alleenstaand,gemiddelde huur,1500,2019,9
 lokale lasten,Alleenstaand,gemiddelde huur,1500,2019,44
 telefoon televisie internet,Alleenstaand,gemiddelde huur,1500,2019,57
 verzekeringen,Alleenstaand,gemiddelde huur,1500,2019,171
 onderwijs,Alleenstaand,gemiddelde huur,1500,2019,0
 kinderopvang,Alleenstaand,gemiddelde huur,1500,2019,0
 contributies en abonnementen,Alleenstaand,gemiddelde huur,1500,2019,24
 vervoer,Alleenstaand,gemiddelde huur,1500,2019,42
VASTE LASTEN,Alleenstaand,gemiddelde huur,1500,2019,980
 kleding en schoenen,Alleenstaand,gemiddelde huur,1500,2019,55
 inventaris,Alleenstaand,gemiddelde huur,1500,2019,66
 onderhoud huis en tuin,Alleenstaand,gemiddelde huur,1500,2019,23
 niet-vergoede ziektekosten,Alleenstaand,gemiddelde huur,1500,2019,38
 vrijetijdsuitgaven,Alleenstaand,gemiddelde huur,1500,2019,60
RESERVERINGSUITGAVEN,Alleenstaand,gemiddelde huur,1500,2019,242
 voeding,Alleenstaand,gemiddelde huur,1500,2019,214
 overige huishoudelijke uitgaven,Alleenstaand,gemiddelde huur,1500,2019,64
HUISHOUDELIJKE UITGAVEN,Alleenstaand,gemiddelde huur,1500,2019,278
OVERSCHOT/TEKORT,Alleenstaand,gemiddelde huur,1500,2019,0
TOTAAL INKOMEN,Alleenstaand,gemiddelde huur,1750,2019,1.750
TOTAAL UITGAVEN,Alleenstaand,gemiddelde huur,1750,2019,1.750
 huur/hypotheek,Alleenstaand,gemiddelde huur,1750,2019,551
 gas,Alleenstaand,gemiddelde huur,1750,2019,83
 elektriciteit,Alleenstaand,gemiddelde huur,1750,2019,34
 water,Alleenstaand,gemiddelde huur,1750,2019,10
 lokale lasten,Alleenstaand,gemiddelde huur,1750,2019,44
 telefoon televisie internet,Alleenstaand,gemiddelde huur,1750,2019,63
 verzekeringen,Alleenstaand,gemiddelde huur,1750,2019,177
 onderwijs,Alleenstaand,gemiddelde huur,1750,2019,0
 kinderopvang,Alleenstaand,gemiddelde huur,1750,2019,0
 contributies en abonnementen,Alleenstaand,gemiddelde huur,1750,2019,36
 vervoer,Alleenstaand,gemiddelde huur,1750,2019,112
VASTE LASTEN,Alleenstaand,gemiddelde huur,1750,2019,1.109
 kleding en schoenen,Alleenstaand,gemiddelde huur,1750,2019,65
 inventaris,Alleenstaand,gemiddelde huur,1750,2019,71
 onderhoud huis en tuin,Alleenstaand,gemiddelde huur,1750,2019,24
 niet-vergoede ziektekosten,Alleenstaand,gemiddelde huur,1750,2019,38
 vrijetijdsuitgaven,Alleenstaand,gemiddelde huur,1750,2019,137
RESERVERINGSUITGAVEN,Alleenstaand,gemiddelde huur,1750,2019,336
 voeding,Alleenstaand,gemiddelde huur,1750,2019,214
 overige huishoudelijke uitgaven,Alleenstaand,gemiddelde huur,1750,2019,91
HUISHOUDELIJKE UITGAVEN,Alleenstaand,gemiddelde huur,1750,2019,305
OVERSCHOT/TEKORT,Alleenstaand,gemiddelde huur,1750,2019,0
